COMMON_NAME,TITLE,FAB_PROD,RET_PROD,REV,LAYER,STEP,PLATE_TYPE,TAPEIN_TREND,ITO_TREND,ITO_COMMIT,ITO_STATUS,RET_FABREV,FAB,BARCODE,IMO_TREND,IMO_COMMIT,IMO_STATUS,SHIPDATE,FAB_REQUIREDDATE,IMO_DOTPROCESS,IMO_ISHOT,TECHNOLOGY,TO_ENGCONTACT,DBNAMES,LAST_UPDATED_TIMESTAMP
PANTHERLAKECPU-UDIE,0EA4,8PXMCVAG,8PXMCG,0,PCT,G,EA6M,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 3.0.1.0,F32,8PXMCGPCT0EA4,07/05/2025,2025-06-24 00:00:00,Shipped,2025-07-05 02:31:53,08/05/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,1EA3,8PXMCVAG,8PXMCG,0,DNU,G,EA6M,01/23/2025,01/28/2025,2025-01-30 12:00:00,Released,REV 2.2.3.0,F32,8PXMCGDNU1EA3,06/06/2025,2025-06-13 00:00:00,Shipped,2025-06-06 05:06:50,07/10/2025,1278.3-17,,1278.3,REILLYCO,"8pxmcg_0a.oas,f300288.oas",2025-05-01 06:44:19
PANTHERLAKECPU-UDIE,1EA4,8PXMCVAG,8PXMCG,0,DNU,G,EA6M,01/23/2025,01/28/2025,2025-01-30 12:00:00,Released,REV 2.2.3.0,F32,8PXMCGDNU1EA4,06/11/2025,2025-06-13 00:00:00,Shipped,2025-06-11 13:26:20,07/10/2025,1278.3-17,,1278.3,REILLYCO,"8pxmcg_0a.oas,f300288.oas",2025-05-01 06:44:19
PANTHERLAKECPU-UDIE,0EA4,8PXMCVAG,8PXMCG,0,DPR,G,EA6M,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.2.7.0,F32,8PXMCGDPR0EA4,06/26/2025,2025-06-13 00:00:00,Shipped,2025-06-26 23:51:51,06/26/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0EA5,8PXMCVAG,8PXMCG,0,PLY,G,EA6M,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.2.2.0,F32,8PXMCGPLY0EA5,06/28/2025,2025-06-21 00:00:00,Shipped,2025-06-28 03:19:32,07/13/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0EA6,8PXMCVAG,8PXMCG,0,PLY,G,EA6M,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.2.2.0,F32,8PXMCGPLY0EA6,07/07/2025,2025-06-14 00:00:00,Shipped,2025-07-07 06:48:23,07/13/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0EA3,8PXMCVAG,8PXMCG,0,TLK,G,EB6X,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.1.1.0,F32,8PXMCGTLK0EA3,06/20/2025,2025-06-26 00:00:00,Shipped,2025-06-20 05:28:28,08/09/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0EA4,8PXMCVAG,8PXMCG,0,TLK,G,EB6X,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.1.1.0,F32,8PXMCGTLK0EA4,06/08/2025,2025-06-19 00:00:00,Shipped,2025-06-08 22:56:13,08/09/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0EA3,8PXMCVAG,8PXMCG,0,TPA,G,EA6M,12/09/2024,12/13/2024,2024-12-13 12:00:00,Released,REV 3.6.2.0,F32,8PXMCGTPA0EA3,07/05/2025,2025-06-15 00:00:00,Shipped,2025-07-05 17:03:43,07/30/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:08:35
PANTHERLAKECPU-UDIE,0EA4,8PXMCVAG,8PXMCG,0,TPA,G,EA6M,12/09/2024,12/13/2024,2024-12-13 12:00:00,Released,REV 3.6.2.0,F32,8PXMCGTPA0EA4,06/30/2025,2025-06-22 00:00:00,Shipped,2025-06-30 08:23:23,07/30/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:08:35
