LOT,OPERATION,OUT_DATE
A528920B,204087,2025-07-30 11:13:02
A528920B,262873,2025-07-30 11:29:39
A528920B,262714,2025-07-30 11:44:05
A528920B,264315,2025-07-30 11:55:11
A528920B,177401,2025-07-30 12:05:23
A528920B,183845,2025-07-30 12:05:24
A528920B,183447,2025-07-30 12:21:14
A528920B,183846,2025-07-30 12:37:52
A528920B,186303,2025-07-30 12:37:52
A528920B,144082,2025-07-30 12:45:54
A528920B,177402,2025-07-30 12:53:37
A528920B,224274,2025-07-30 12:53:37
A528920B,224463,2025-07-30 12:53:37
A528920B,143585,2025-07-30 15:10:49
A528920B,206989,2025-07-30 15:10:49
A528920B,224464,2025-07-30 15:10:49
A528920B,257029,2025-07-30 15:10:49
A528920B,204087,2025-07-30 15:17:47
A528920B,224275,2025-07-30 15:17:47
A528920B,257038,2025-07-30 15:17:47
A528920B,226748,2025-07-30 16:30:29
A528920B,145049,2025-07-30 16:43:35
A528920B,261480,2025-07-30 16:53:38
A528920B,251263,2025-07-30 17:39:46
A528920B,250136,2025-07-30 18:01:57
A528920B,217138,2025-07-30 18:16:48
A528920B,217536,2025-07-30 18:16:48
A528920B,254145,2025-07-30 18:16:48
A528920B,228474,2025-07-30 18:28:22
A528920B,143802,2025-07-30 18:28:23
A528920B,211749,2025-07-30 18:28:23
A528920B,143803,2025-07-31 00:07:39
A528920B,143804,2025-07-31 00:32:46
A528920B,143805,2025-07-31 00:52:19
A528920B,231190,2025-07-31 00:52:39
A528920B,189009,2025-07-31 00:58:15
A528920B,207026,2025-07-31 01:46:28
A528920B,260132,2025-07-31 02:00:26
A528920B,215820,2025-07-31 09:02:03
A528920B,189011,2025-07-31 09:07:47
A528920B,260133,2025-07-31 09:21:43
A528920B,211035,2025-07-31 09:37:29
A528920B,179282,2025-07-31 10:18:38
A528920B,180594,2025-07-31 10:29:02
A528920B,181212,2025-07-31 10:29:02
A528920B,207028,2025-07-31 13:50:22
A528920B,179283,2025-07-31 14:08:17
A528920B,238213,2025-07-31 14:21:10
A528920B,215717,2025-07-31 14:30:34
A528920B,179851,2025-07-31 15:31:48
A528920B,179284,2025-07-31 15:48:55
A528920B,214155,2025-07-31 15:48:55
A528920B,256934,2025-07-31 15:48:55
A528920B,146197,2025-07-31 15:48:56
A528920B,211036,2025-07-31 16:02:22
A528920B,179285,2025-07-31 16:59:39
A528920B,251953,2025-07-31 17:11:50
A528920B,180595,2025-07-31 17:22:49
A528920B,181213,2025-07-31 17:22:49
A528920B,207029,2025-07-31 18:31:14
A528920B,179286,2025-07-31 18:44:18
A528920B,262002,2025-07-31 18:56:10
A528920B,215718,2025-07-31 19:05:25
A528920B,179852,2025-07-31 19:29:38
A528920B,146197,2025-07-31 19:43:13
A528920B,179287,2025-07-31 19:43:13
A528920B,214155,2025-07-31 19:43:13
A528920B,256934,2025-07-31 19:43:13
A528920B,179302,2025-07-31 19:58:47
A528920B,216292,2025-07-31 20:41:24
A528920B,189012,2025-07-31 21:01:20
A528920B,248212,2025-07-31 22:20:54
A528920B,215719,2025-07-31 22:29:41
A528920B,179854,2025-07-31 22:59:56
A528920B,179275,2025-07-31 23:14:39
A528920B,146197,2025-07-31 23:14:40
A528920B,214155,2025-07-31 23:14:40
A528920B,256934,2025-07-31 23:14:40
A528920B,184679,2025-08-01 00:59:49
A528920B,202211,2025-08-01 00:59:49
A528920B,254344,2025-08-01 00:59:49
A528920B,250311,2025-08-01 09:10:16
A528920B,204915,2025-08-01 09:53:34
A528920B,202212,2025-08-01 10:03:24
A528920B,204916,2025-08-01 10:03:24
A528920B,247706,2025-08-01 14:11:45
A528920B,183419,2025-08-01 14:11:46
A528920B,183420,2025-08-01 14:11:46
A528920B,189013,2025-08-01 14:21:07
A528920B,183642,2025-08-01 14:59:08
A528920B,201135,2025-08-01 14:59:08
A528920B,241230,2025-08-01 14:59:39
A528920B,219415,2025-08-02 00:42:19
A528920B,202213,2025-08-02 02:11:12
A528920B,255674,2025-08-02 02:11:12
A528920B,202214,2025-08-02 03:09:37
A528920B,246010,2025-08-02 03:09:37
A528920B,215720,2025-08-02 03:27:34
A528920B,240382,2025-08-02 03:45:46
A528920B,219416,2025-08-02 04:12:04
A528920B,146197,2025-08-02 04:39:29
A528920B,214155,2025-08-02 04:39:29
A528920B,232489,2025-08-02 04:39:29
A528920B,256934,2025-08-02 04:39:29
A528920B,143806,2025-08-02 08:22:16
A528920B,254144,2025-08-02 08:22:16
A528920B,143807,2025-08-02 09:13:10
A528920B,143808,2025-08-02 09:27:59
A528920B,143809,2025-08-02 10:01:37
A528920B,231191,2025-08-02 10:02:11
A528920B,189014,2025-08-02 10:14:41
A528920B,179551,2025-08-02 10:29:07
A528920B,180303,2025-08-02 10:48:26
A528920B,145052,2025-08-02 11:08:36
A528920B,208662,2025-08-02 11:08:36
A528920B,145037,2025-08-02 11:22:26
A528920B,208663,2025-08-02 11:22:26
A528920B,236020,2025-08-02 11:28:40
A528920B,236021,2025-08-02 11:37:05
A528920B,210654,2025-08-02 11:48:32
A528920B,210656,2025-08-02 12:10:28
A528920B,144185,2025-08-02 15:16:32
A528920B,210621,2025-08-02 15:16:32
A528920B,257023,2025-08-02 15:16:32
A528920B,210623,2025-08-02 16:15:38
A528920B,263383,2025-08-02 16:40:19
A528920B,263326,2025-08-02 17:04:33
A528920B,146372,2025-08-02 17:10:05
A528920B,182963,2025-08-02 17:18:57
A528920B,210654,2025-08-02 17:37:05
A528920B,210656,2025-08-02 18:04:37
A528920B,144185,2025-08-02 21:41:57
A528920B,210621,2025-08-02 21:41:57
A528920B,257023,2025-08-02 21:41:57
A528920B,210623,2025-08-02 21:49:44
A528920B,210637,2025-08-02 21:49:44
A528920B,250920,2025-08-03 00:10:00
A528920B,180247,2025-08-03 00:34:47
A528920B,179406,2025-08-03 00:46:20
A528920B,217139,2025-08-03 00:46:20
A528920B,217537,2025-08-03 00:46:20
A528920B,250940,2025-08-03 00:54:01
A528920B,263269,2025-08-03 00:54:01
A528920B,261617,2025-08-03 01:41:41
A528920B,256833,2025-08-03 03:57:36
A528920B,207612,2025-08-03 04:08:04
A528920B,179407,2025-08-03 05:11:47
A528920B,261618,2025-08-03 05:20:22
A528920B,144248,2025-08-04 10:32:28
A528920B,231092,2025-08-05 10:56:45
A528920B,268450,2025-08-05 11:18:20
