LOT,OPERATION,OUT_DATE
A5280130,231191,2025-08-13 16:58:55
A5280130,189014,2025-08-13 17:16:13
A5280130,179551,2025-08-13 17:34:43
A5280130,180303,2025-08-13 17:53:44
A5280130,145052,2025-08-13 18:12:05
A5280130,208662,2025-08-13 18:12:05
A5280130,145037,2025-08-13 18:37:16
A5280130,208663,2025-08-13 18:37:16
A5280130,236020,2025-08-13 18:46:28
A5280130,236021,2025-08-13 18:51:39
A5280130,210654,2025-08-13 19:02:29
A5280130,210656,2025-08-13 19:12:50
A5280130,144185,2025-08-13 20:33:26
A5280130,210621,2025-08-13 20:33:26
A5280130,257023,2025-08-13 20:33:26
A5280130,210623,2025-08-13 20:40:28
A5280130,210637,2025-08-13 20:46:05
A5280130,250920,2025-08-13 21:55:07
A5280130,180247,2025-08-14 01:57:42
A5280130,179406,2025-08-14 02:12:06
A5280130,217139,2025-08-14 02:12:06
A5280130,217537,2025-08-14 02:12:06
A5280130,250940,2025-08-14 02:33:13
A5280130,263269,2025-08-14 02:33:13
A5280130,261617,2025-08-15 05:04:04
A5280130,256833,2025-08-15 07:30:42
A5280130,207612,2025-08-15 07:42:43
A5280130,179407,2025-08-15 08:19:21
A5280130,261618,2025-08-15 08:30:45
A5280130,144248,2025-08-16 01:29:29
A5280130,231092,2025-08-16 01:52:51
A5280130,268450,2025-08-16 02:52:52
A5280130,268579,2025-08-16 03:06:07
A5280130,229027,2025-08-16 06:07:40
A5280130,231093,2025-08-16 06:31:45
A5280130,269328,2025-08-16 09:56:13
A5280130,246381,2025-08-16 10:46:27
A5280130,237196,2025-08-16 11:36:13
A5280130,179409,2025-08-16 12:16:27
A5280130,143814,2025-08-16 12:27:02
A5280130,179410,2025-08-16 12:27:02
A5280130,180260,2025-08-16 12:27:02
A5280130,180261,2025-08-16 12:27:02
A5280130,180862,2025-08-16 12:27:02
A5280130,180262,2025-08-17 15:23:52
A5280130,143815,2025-08-17 15:31:37
A5280130,143816,2025-08-17 15:31:37
A5280130,143817,2025-08-17 15:31:37
A5280130,143818,2025-08-17 15:31:37
A5280130,180079,2025-08-17 15:31:37
A5280130,182742,2025-08-17 15:31:37
A5280130,228863,2025-08-17 15:50:54
A5280130,230518,2025-08-17 20:14:23
A5280130,208662,2025-08-17 20:33:32
A5280130,230832,2025-08-17 20:33:32
A5280130,208663,2025-08-17 21:05:21
A5280130,244871,2025-08-17 21:05:21
A5280130,230516,2025-08-17 21:12:50
A5280130,230517,2025-08-17 21:18:32
A5280130,210655,2025-08-17 21:28:34
A5280130,210657,2025-08-17 21:41:30
A5280130,144185,2025-08-18 01:05:11
A5280130,210622,2025-08-18 01:05:11
A5280130,257024,2025-08-18 01:05:11
A5280130,256966,2025-08-18 01:11:16
A5280130,210638,2025-08-18 01:25:00
A5280130,250922,2025-08-18 22:24:02
A5280130,230873,2025-08-18 23:41:54
A5280130,248213,2025-08-18 23:54:24
A5280130,250941,2025-08-19 01:26:47
A5280130,264151,2025-08-19 01:26:47
A5280130,263098,2025-08-19 01:51:17
A5280130,229026,2025-08-19 02:41:30
A5280130,231025,2025-08-19 03:17:53
A5280130,229465,2025-08-19 03:19:25
A5280130,238691,2025-08-19 04:07:16
A5280130,238692,2025-08-19 05:43:48
A5280130,263099,2025-08-19 06:05:00
A5280130,229029,2025-08-19 10:49:41
A5280130,248214,2025-08-19 11:16:16
A5280130,247913,2025-08-19 15:04:50
A5280130,263101,2025-08-19 15:23:49
A5280130,237197,2025-08-19 16:24:23
A5280130,264174,2025-08-19 16:43:27
A5280130,214155,2025-08-19 17:07:56
A5280130,247188,2025-08-19 17:07:56
A5280130,256934,2025-08-19 17:07:56
A5280130,146197,2025-08-19 17:07:57
A5280130,179552,2025-08-19 17:30:29
A5280130,181163,2025-08-19 18:53:10
A5280130,145051,2025-08-19 19:09:33
A5280130,208664,2025-08-19 19:09:33
A5280130,145036,2025-08-19 19:34:01
A5280130,208665,2025-08-19 19:34:01
A5280130,209700,2025-08-19 19:34:01
A5280130,180080,2025-08-19 19:41:28
A5280130,145027,2025-08-19 19:47:07
A5280130,180474,2025-08-19 20:06:38
A5280130,180475,2025-08-19 20:16:22
A5280130,224276,2025-08-19 20:16:22
A5280130,224465,2025-08-19 20:16:22
A5280130,144184,2025-08-20 00:01:46
A5280130,217274,2025-08-20 00:01:46
A5280130,224466,2025-08-20 00:01:46
A5280130,234119,2025-08-20 00:01:46
A5280130,204146,2025-08-20 00:09:02
A5280130,224277,2025-08-20 00:24:12
A5280130,234107,2025-08-20 00:24:12
A5280130,204709,2025-08-20 01:44:35
A5280130,181187,2025-08-20 02:38:51
A5280130,179411,2025-08-20 03:02:42
A5280130,217140,2025-08-20 03:02:42
A5280130,217538,2025-08-20 03:02:42
A5280130,236157,2025-08-20 03:11:11
A5280130,264152,2025-08-20 03:11:11
A5280130,263103,2025-08-20 04:20:07
A5280130,144246,2025-08-20 04:21:26
A5280130,264448,2025-08-20 05:00:15
A5280130,207613,2025-08-20 05:29:13
A5280130,179412,2025-08-20 06:20:26
A5280130,262626,2025-08-20 06:53:39
A5280130,255474,2025-08-20 07:24:36
A5280130,263106,2025-08-20 07:33:45
A5280130,195250,2025-08-20 07:35:41
A5280130,237797,2025-08-20 08:25:22
A5280130,145148,2025-08-20 09:41:07
A5280130,263109,2025-08-20 21:45:57
A5280130,180463,2025-08-20 22:22:26
A5280130,143810,2025-08-20 23:07:40
A5280130,146197,2025-08-20 23:07:40
A5280130,176474,2025-08-20 23:07:40
A5280130,179414,2025-08-20 23:07:40
A5280130,182729,2025-08-20 23:07:40
A5280130,214155,2025-08-20 23:07:40
A5280130,256934,2025-08-20 23:07:40
A5280130,143811,2025-08-20 23:07:41
A5280130,143812,2025-08-20 23:07:41
A5280130,143813,2025-08-20 23:07:41
A5280130,146197,2025-08-20 23:07:41
A5280130,182743,2025-08-20 23:07:41
A5280130,256934,2025-08-20 23:07:41
A5280130,180407,2025-08-21 04:47:24
A5280130,187123,2025-08-21 04:47:24
A5280130,180672,2025-08-21 05:22:42
A5280130,236876,2025-08-21 05:59:05
A5280130,144300,2025-08-21 06:15:42
A5280130,213611,2025-08-21 09:39:56
A5280130,144527,2025-08-21 14:29:13
A5280130,179576,2025-08-21 17:29:25
A5280130,144522,2025-08-21 17:47:14
A5280130,144345,2025-08-22 20:01:54
A5280130,179577,2025-08-23 03:02:05
A5280130,243693,2025-08-23 04:19:15
A5280130,220418,2025-08-23 04:36:57
A5280130,243692,2025-08-23 04:36:57
A5280130,144187,2025-08-23 05:37:46
A5280130,180670,2025-08-23 05:37:46
A5280130,144237,2025-08-23 07:22:14
A5280130,210932,2025-08-23 14:35:42
A5280130,210933,2025-08-24 01:18:57
A5280130,209701,2025-08-24 08:22:58
A5280130,249275,2025-08-24 08:22:58
A5280130,179783,2025-08-24 08:31:44
A5280130,179784,2025-08-24 08:38:19
A5280130,181676,2025-08-24 08:56:03
A5280130,181677,2025-08-24 09:29:13
A5280130,228847,2025-08-24 09:53:52
A5280130,153612,2025-08-24 10:05:33
A5280130,181678,2025-08-24 10:05:33
A5280130,217275,2025-08-24 10:05:33
A5280130,204476,2025-08-24 10:13:06
A5280130,228849,2025-08-24 10:20:10
A5280130,257604,2025-08-24 11:46:34
A5280130,179926,2025-08-24 12:12:24
A5280130,180650,2025-08-24 12:12:24
A5280130,180657,2025-08-24 12:56:46
A5280130,219046,2025-08-24 13:30:15
A5280130,179581,2025-08-24 13:52:16
A5280130,146197,2025-08-24 13:52:17
A5280130,214155,2025-08-24 13:52:17
A5280130,256934,2025-08-24 13:52:17
A5280130,179786,2025-08-24 13:59:48
A5280130,179787,2025-08-24 14:04:58
A5280130,181679,2025-08-24 14:15:08
A5280130,181680,2025-08-24 14:26:01
A5280130,228848,2025-08-24 14:51:26
A5280130,153613,2025-08-24 15:03:44
A5280130,181681,2025-08-24 15:03:44
A5280130,217276,2025-08-24 15:03:44
A5280130,204477,2025-08-24 15:11:15
A5280130,228850,2025-08-24 15:20:14
A5280130,257605,2025-08-24 17:01:32
A5280130,179927,2025-08-24 17:21:45
A5280130,180651,2025-08-24 17:21:45
A5280130,180658,2025-08-24 18:14:55
A5280130,219047,2025-08-24 18:46:09
A5280130,146197,2025-08-24 19:42:54
